Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
CITY LAW SOLICITORS,0,0,0,3,0,0,0,0,0,2,0,5
CJH CONSULTANCY SERVICES LTD,0,0,0,0,0,0,0,0,0,5,0,5
CLANGS V.A. LTD,0,0,0,0,0,0,0,0,0,5,0,5
CLEAR BUILDING MANAGEMENT LIMITED,0,0,0,0,0,0,0,0,0,3,2,5
CMG LEASEHOLD MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,3,2,5
CROMWELL HOLDINGS LTD,0,0,0,0,0,0,0,0,0,5,0,5
CROUCHER NEEDHAM LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
CROWD WITH US LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
D R SCEATS,0,0,0,0,0,0,0,0,0,5,0,5
DACK PEARSON,0,0,0,1,2,0,0,0,0,2,0,5
DASSAUR SOLICITORS,0,0,0,0,1,0,0,0,2,2,0,5
DAVID HOWES SOLICITORS,0,0,0,0,0,0,0,0,0,5,0,5
DAVID R TAYLOR,0,0,0,0,0,0,0,0,0,4,1,5
DAWSON RADFORD LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
DEBTFOCUS,0,0,0,5,0,0,0,0,0,0,0,5
DESOR & COMPANY,0,0,0,1,0,0,0,0,0,3,1,5
DFR1 LTD T/A DFR SOLICITORS,0,0,0,0,0,0,0,0,0,5,0,5
DIRECT GROUP LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
DIRECT SWITCH LTD,0,0,0,0,0,0,0,0,0,5,0,5
EAST CAMBS TRADING COMPANY LTD,0,0,0,0,0,0,0,0,0,5,0,5
EDWARD DE SILVA & CO,0,0,0,0,1,0,0,0,0,2,2,5
EMAZON SOLICITORS,0,0,0,2,0,0,0,0,0,3,0,5
EPIC CASTLE PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,3,2,5
EVERYMAN LEGAL LTD,0,1,0,3,0,0,0,0,0,1,0,5
EXCEL-A-RATE BUSINESS SERVICES LTD,0,0,0,2,0,0,1,0,0,2,0,5
FAHRI JACOB,0,0,0,0,0,0,1,0,0,3,1,5
FCC ENVIRONMENT (UK) LTD,0,0,0,0,0,0,0,0,0,4,1,5
FERGUSON MAIDMENT & CO,0,0,0,0,0,0,0,0,0,4,1,5
FGA CAPITAL UK LTD,0,0,0,0,0,0,0,0,0,5,0,5
FORD'S RESIDENTIAL MANAGEMENT,0,0,0,0,0,0,0,0,0,3,2,5
FORENSIC RECOVERY LIMITED,0,0,0,0,0,0,0,0,0,1,4,5
FREEMAN RICH,0,0,0,0,0,0,0,0,0,1,4,5
GADE PROPERTY DEVELOPMENTS LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
GILES WHEELER-BENNETT,0,0,0,0,0,0,0,0,1,2,2,5
GLANTY LTD,0,0,0,0,0,0,0,0,0,5,0,5
GLS LTD,0,0,0,0,0,0,0,0,0,0,5,5
GREATER MANCHESTER POLICE,0,0,0,0,0,0,0,0,0,5,0,5
GUEST WALKER & CO,1,0,1,2,0,0,0,0,0,1,0,5
H V & G SORRELL,0,0,0,0,0,0,0,0,0,0,5,5
HAIDER KENNEDY LEGAL SERVICES LTD,0,0,0,1,0,0,0,0,0,4,0,5
HALL & WOODHOUSE LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
HANDELSBANKEN,0,0,0,0,0,0,0,0,0,5,0,5
HARDMANS & CO,0,0,0,0,1,0,1,0,0,1,2,5
HARRIES 1970 LTD,0,0,0,0,0,0,0,0,0,5,0,5
HARRIS FOWLER LTD,0,0,0,0,0,0,0,0,0,5,0,5
HARRISONS BUS REC & INSOLVCY LTD,0,0,0,0,0,0,0,0,0,5,0,5
HARTNELL TAYLOR COOK LLP,0,0,0,0,0,0,0,0,0,5,0,5
HENRY H BLETSOE AND SON LLP,0,0,0,0,0,0,0,0,0,4,1,5
HENRY WILTSHIRE LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
HEPBURN DELANEY LTD,0,0,0,2,0,0,0,0,0,3,0,5
HEREFORDSHIRE HOUSING LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
HERN & CRABTREE LIMITED,0,0,0,0,0,0,0,0,0,3,2,5
HESMONDHALGH & MALONEY,0,0,0,0,0,0,0,0,0,4,1,5
HML HATHAWAYS LIMITED,0,0,0,0,0,0,0,0,0,2,3,5
HODGSONS,0,0,0,5,0,0,0,0,0,0,0,5
HOLLINGSWORTHS SOLICITORS LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
HOXTONS SOLICITORS,0,0,0,1,0,0,1,0,0,3,0,5
HYWEL HUGHES COM PROP CONS LTD,0,0,0,0,0,0,0,0,0,1,4,5
IDEAL LAND LTD,0,0,0,0,0,0,0,0,0,5,0,5
IMPERIAL ESTATE AGENTS LTD,0,0,0,0,0,0,0,0,0,5,0,5
INES DE VECCHI,0,0,0,0,0,0,0,0,0,2,3,5
INGLETON WOOD LLP,0,0,0,0,0,0,0,0,0,5,0,5
INVEST AND FUND LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
J W WOOD LTD,0,0,0,0,0,0,0,0,0,5,0,5
JACKSON STEPHEN LLP,0,0,0,0,0,0,0,0,0,5,0,5
JANE KAIM CAUDLE LLP,0,0,0,0,0,0,0,0,0,5,0,5
JAY VISVA SOLICITORS,0,0,0,0,1,0,0,0,0,4,0,5
JOHN B CALVER & CO,0,1,0,1,0,0,0,0,0,3,0,5
JOSEPH & KHAN SOLICITORS,0,1,0,2,0,0,0,0,0,2,0,5
JOSEPH PARR LTD,0,0,0,0,0,0,0,0,0,5,0,5
JUST ASK SOLICITORS LTD,0,0,0,3,1,0,0,0,0,1,0,5
K LAW SOLICITORS,0,0,0,0,0,0,0,0,0,2,3,5
K S TAN & COMPANY,0,0,0,0,0,0,0,0,0,4,1,5
KEATS HASLEMERE LTD,0,0,0,0,0,0,0,0,0,5,0,5
KINGSDALE GROUP LIMITED,0,0,0,0,0,0,0,0,0,3,2,5
KONURALP INVESTMENTS LIMITED,0,0,0,0,1,0,0,0,0,4,0,5
KROLL ASSOCIATES UK LTD,0,0,0,0,0,0,0,0,0,4,1,5
LADHAM PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
LAND FACTOR LIMITED,0,0,0,0,0,0,0,0,0,4,1,5
LDG,0,0,0,0,0,0,0,0,0,5,0,5
LEASEHOLD DEBT RECOVERY LIMITED,0,0,0,0,0,0,0,0,0,4,1,5
LEE VALLEY REGIONAL PARK AUTHORITY,0,0,0,0,0,0,0,0,0,4,1,5
LEEDS FEDERATED HOUSING ASSN LTD,0,0,0,0,0,0,0,0,1,4,0,5
LETCHWORTH GARDEN CITY HRTG FOUNDN,1,0,0,2,0,0,0,0,0,2,0,5
LIVERPOOL VICTORIA FRIENDLY SOC,0,0,0,0,0,0,0,0,0,5,0,5
LLOYD JONES AND CO,0,0,0,0,1,0,0,0,0,2,2,5
LOCAL SPACE LIMITED,0,0,0,0,0,0,0,0,0,3,2,5
LOCKE LORD (UK) LLP,0,2,0,1,0,0,0,0,0,2,0,5
LONDON BOROUGH OF HAVERING,0,0,0,0,0,0,0,0,0,5,0,5
LONDON BOROUGH OF HILLINGDON,0,0,0,0,0,0,0,0,0,5,0,5
LONDON BOROUGH OF SOUTHWARK,0,0,0,0,0,0,0,0,0,5,0,5
LONGLEAT,0,0,0,0,0,0,0,0,0,3,2,5
LOUIS KENNEDY SOLICITORS,0,0,0,0,0,0,0,0,0,3,2,5
LOWES SOLICITORS,0,0,0,1,0,0,0,0,0,3,1,5
M H LAW SOLICITORS,0,0,0,0,0,0,0,0,0,2,3,5
MAIDSTONE BOROUGH COUNCIL,0,0,0,0,0,0,0,0,0,5,0,5
MANNERTON EST OFF (GUERNSEY) LTD,0,0,0,0,0,0,0,0,0,4,1,5
MARO DEVELOPMENTS LIMITED,0,0,0,0,0,0,0,0,0,1,4,5
MARR-JOHNSON & STEVENS LLP,0,0,0,0,0,0,0,0,0,4,1,5
MARTIN GRANT HOMES,0,0,0,0,0,0,0,0,0,5,0,5
MERCANTILE BARRISTERS CHAMBERS LTD,0,0,0,1,0,0,0,0,0,2,2,5
MERIDAN PRIVATE CLIENT LLP,0,0,0,0,0,0,0,0,0,5,0,5
MESSILA HOUSE LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
METROPOLITAN POLICE AUTHORITY,0,0,0,0,0,0,0,0,0,5,0,5
MICHAEL BLANDY SOLICITORS,0,0,0,0,0,0,0,0,0,5,0,5
MICHAEL HARWOOD TA HARWOOD & CO,0,0,2,3,0,0,0,0,0,0,0,5
MICHAEL LEVER,0,0,0,0,0,0,0,0,0,4,1,5
MICHAEL TUCK NEW HOMES LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
MICHELMORE HUGHES,0,0,0,0,0,0,0,0,0,3,2,5
MID SUFFOLK DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,5,0,5
MILLER & MILLER SURVEYORS LTD,0,0,0,0,0,0,0,0,0,5,0,5
MILLS & CO,0,0,0,1,0,0,0,0,0,4,0,5
MILLS SELIG SOLICITORS,0,0,0,0,0,0,0,0,1,1,3,5
MNS LAW LLP,0,0,0,2,0,0,0,0,0,3,0,5
MQ HASSAN SOLICITORS,0,0,0,3,0,0,0,0,0,2,0,5
MUSCATT SOLICITORS,0,0,0,1,1,0,0,0,0,3,0,5
MYTON LAW LIMITED,0,0,0,1,0,0,0,0,0,4,0,5
NANTHA & CO SOLICITORS,0,0,0,0,2,0,0,0,0,2,1,5
NEIL HUDGELL LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
NEW CITY ESTATES LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
NEWLEAF ASSET MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,5,0,5
NEXIS SOLUTIONS LIMITED,0,0,0,4,0,0,0,0,0,0,1,5
NICOLA J TIERNAN SOLICITOR LIMITED,0,0,0,4,0,0,0,0,0,1,0,5
NOBLE & CO,1,1,1,2,0,0,0,0,0,0,0,5
NOBLE LAW SOLICITORS,0,0,0,2,1,0,0,0,0,2,0,5
NORTHVIEW GROUP LTD,0,0,0,0,0,0,0,0,0,5,0,5
NORTHWOOD (CUMBRIA) LTD,0,0,0,0,0,0,0,0,0,5,0,5
O'CALLAGHAN & CO,0,0,0,1,0,0,0,0,0,3,1,5
P B LEGAL LTD,0,0,0,0,0,0,0,0,0,5,0,5
P G JASANI,0,0,0,0,0,0,0,0,0,2,3,5
PATON WALSH LAUNDY,0,2,1,2,0,0,0,0,0,0,0,5
PEMBROKESHIRE HOUSING ASSN LTD,0,0,0,0,0,0,0,0,0,4,1,5
PETER CLARKE SOLICITORS,0,0,0,4,0,0,0,0,0,1,0,5
PETER OTTO & CO SOLICITORS,0,0,0,0,0,0,0,0,0,3,2,5
PETHERBRIDGE BASSRA SOLICITORS LTD,0,0,0,0,0,0,0,0,0,5,0,5
PHILIP HODGES ESTATE AGENTS LTD,0,0,0,0,0,0,0,0,0,5,0,5
PK PROPERTIES (LONDON) LTD,0,0,0,0,0,0,0,0,0,5,0,5
PLACE FOR PEOPLE HOMES LIMITED,0,0,0,0,0,0,0,0,0,3,2,5
POLLARD BOWER,0,0,1,4,0,0,0,0,0,0,0,5
PREMIUM LAW SOLICITORS LTD,0,1,0,0,0,0,0,0,1,3,0,5
PRIME (UK) DEVELOPMENTS LIMITED,0,0,0,0,0,0,0,0,0,3,2,5
PROPERTY ALLIANCE GROUP LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
PROPERTY MANAGEMENT SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,5,0,5
PROSPERITY LAW LLP,0,0,0,1,0,0,0,0,0,4,0,5
PURNELLS SOLICITORS,0,0,0,2,0,0,0,0,0,3,0,5
RACHEL CONN,0,0,0,3,0,0,0,0,0,2,0,5
RCN LEGAL SERVICES LTD,0,0,0,0,0,0,2,0,0,3,0,5
REAL ESTATE ADVISORY SERVICES LTD,0,0,0,0,0,0,0,0,0,5,0,5
RED BAR LAW LLP,0,0,0,0,0,0,0,0,0,3,2,5
RED BRICK INS & FIN SERVICE LTD,0,0,0,0,0,0,0,0,0,1,4,5
REEMANS SOLICITORS,0,0,0,3,1,0,0,0,0,1,0,5
REGENCY FACTORS PLC,0,0,0,1,2,0,0,0,0,2,0,5
REHANA MALIK,0,0,0,0,0,0,0,0,0,5,0,5
REID & DEAN,0,0,0,0,0,0,0,0,0,4,1,5
RENDERS SOLICITORS,0,0,0,0,0,0,0,0,0,5,0,5
REX COWELL SOLICITORS LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
RICHARD LONG ASSOCIATES LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
ROBERT IRVING BURNS LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
ROBINSON REED LAYTON,0,0,0,0,0,0,0,0,0,5,0,5
ROBOTTOM DEVELOPMENTS LTD,0,0,0,0,0,0,0,0,0,5,0,5
ROCHFORD STOKES LTD,0,0,0,0,0,0,0,0,0,4,1,5
ROWLAND LAW LIMITED,0,0,0,0,0,0,0,0,0,4,1,5
RPC SERVICES LTD,0,0,0,0,0,0,0,0,0,5,0,5
SAFFERY CHAMPNESS,0,0,0,0,0,0,0,0,0,5,0,5
SAIFEE LEGAL LIMITED,0,0,0,0,0,0,0,0,0,2,3,5
SALISBURY LAW,0,0,0,1,0,0,0,0,0,4,0,5
SAM LODH SOLICITOR,0,0,0,2,0,0,0,0,0,2,1,5
SAMANTHA JANET CROWFOOT,0,0,0,5,0,0,0,0,0,0,0,5
SARAH DIXON & CO SOLICITORS,0,0,0,2,0,0,0,0,0,3,0,5
SELWOOD HOUSING SOCIETY LTD,0,0,0,0,0,0,0,0,0,0,5,5
SHELTONS,3,0,2,0,0,0,0,0,0,0,0,5
SHROPSHIRE PROPERTY SEARCH,0,0,0,0,0,0,0,0,0,5,0,5
SIGNATURE TAX LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
SIMON BURN SOLICITORS,0,0,0,1,0,0,0,0,0,4,0,5
SKD LEGAL LTD,0,0,0,3,0,0,0,0,0,1,1,5
SMITH AND PARTNERS,0,0,0,0,0,0,0,0,0,5,0,5
SOLUTIONS,0,0,0,0,0,0,0,0,0,5,0,5
SOOKIAS AND SOOKIAS,0,0,0,0,0,0,0,0,0,5,0,5
SOUTH LONDON ESTATE LTD,0,0,0,0,0,0,0,0,0,5,0,5
SPREADEX LTD,0,0,0,0,0,0,0,0,0,5,0,5
ST GEORGES COMMERCIAL FINANCE LTD,0,0,0,0,0,0,0,0,0,4,1,5
ST. MARYLEBONE PROP COMPANY PLC,0,0,0,1,1,0,0,0,0,3,0,5
STAFFORDSHIRE FAMILY LAW SOLICITOR,0,0,0,1,0,0,0,0,0,3,1,5
STANLEY DE LEON SOLICITORS,0,1,2,2,0,0,0,0,0,0,0,5
STEINFELD LAW LLP,0,0,0,0,0,0,0,0,0,4,1,5
STERLING SURVEYS LIMITED,0,0,0,0,0,0,0,0,0,1,4,5
STOKE & WHITE LLP,0,0,0,3,1,0,0,0,0,1,0,5
STRATEGIC FINANCIAL MGMT (NW) LTD,0,0,0,0,0,0,0,0,0,4,1,5
STRUTT & PARKER,0,0,0,0,0,0,0,0,0,5,0,5
STRUTT & PARKER LLP,0,0,0,0,0,0,0,0,0,5,0,5
SURESEARCH LEGAL SERVICES LTD,0,0,0,0,0,0,0,0,5,0,0,5
SUSAN JUBB FAMILY LAW LTD,0,0,0,0,0,0,0,0,0,5,0,5
SVENSKA HANDELSBAKEN AB PUBL,0,0,0,0,0,0,0,0,0,5,0,5
SVENSKA HANDELSBANKEN AB (PUBL),0,0,0,0,0,0,0,0,0,5,0,5
SVENSKA HANDELSBANKEN AB (PUBL),0,0,0,0,0,0,0,0,0,5,0,5
SVENSKA HANDELSBANKEN AB (PUBL),0,0,0,0,0,0,0,0,0,4,1,5
SVENSKA HANDELSBANKEN AB (PUBL),0,0,0,0,0,0,0,0,0,3,2,5
SVENSKA HANDELSBANKEN AB (PUBL),0,0,0,0,0,0,0,0,0,5,0,5
SVENSKA HANDLESBANKEN,0,0,0,0,0,0,0,0,0,5,0,5
TEWKESBURY BOROUGH COUNCIL,0,0,0,0,0,0,0,0,0,5,0,5
THAMES WATER UTILITIES LIMITED,0,0,0,0,0,0,0,0,0,4,1,5
THE HEATHGATE GROUP LTD,0,0,0,0,0,0,0,0,0,5,0,5
THE JMC PRACTICE SOLICITORS,0,0,0,3,1,0,0,0,0,1,0,5
THE WORKS STORES LIMITED,0,0,0,0,0,0,0,0,0,4,1,5
THOMPSON WILSON LTD,0,0,0,0,0,0,0,0,0,5,0,5
TREANORS SOLICITORS LTD,0,0,0,0,0,0,0,0,0,5,0,5
TREMONT MIDWEST SOLICITORS,0,0,0,2,1,0,0,0,0,2,0,5
TRUST WILL PLAN LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
TUMMINGS SOLICITORS,0,0,0,1,0,0,0,0,0,3,1,5
UNIVERSITY OF BIRMINGHAM,0,0,0,0,0,0,0,0,0,5,0,5
UNIVERSITY OF SOUTHAMPTON,0,0,0,0,0,0,0,0,0,5,0,5
VANGUARD LAW LTD,0,0,0,1,0,0,0,0,0,3,1,5
VENABLES SHERROTT LOCKHART LTD,0,0,0,0,0,0,0,0,1,4,0,5
WALKER & WALKER,0,0,0,0,2,0,0,0,0,2,1,5
WALKER DEVELOPMENTS (SW) LTD,0,0,0,0,0,0,0,0,0,4,1,5
WALTON & CO (PLANNING LAWYERS) LTD,0,0,0,0,0,0,0,0,0,5,0,5
WARREN MURTON SOLICITORS,0,0,1,2,0,0,0,0,0,2,0,5
WATKINSON & COSGRAVE,0,0,0,0,0,0,0,0,0,5,0,5
WENLOCK AND TAYLOR LTD,0,0,0,0,0,0,0,0,0,5,0,5
WESTERN PERMANENT PROPERTY LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
WHP PROJECTS LTD,0,0,0,0,0,0,0,0,0,5,0,5
YORKSHIRE DALES NTL PARK AUTHORITY,0,0,0,0,0,0,0,0,0,5,0,5
AAG LEGAL SERVICES LIMITED,0,0,0,2,0,0,0,0,0,1,1,4
ABBEYMOVE LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
ABBOTT & FROST BLOCK MANAGMENT LTD,0,0,0,0,0,0,0,0,0,2,2,4
ABC III LTD,0,0,0,0,0,0,0,0,0,1,3,4
ACCESS 4 FINANCE LTD,0,0,0,0,0,0,0,0,0,4,0,4
AD HOC PROPERTY MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,4,0,4
ADAMSHAH SOLICITORS,0,1,0,1,1,0,0,0,0,1,0,4
ADH LAW,0,0,0,2,0,0,0,0,0,2,0,4
AG & G LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
ALEXANDER ELLISTON MARKS SOLS LTD,0,0,1,1,1,0,0,0,0,0,1,4
ALEXANDERS,0,0,0,0,0,0,0,0,0,4,0,4
AM LEWIS TA BUTE SURVEYORS,0,0,0,0,0,0,0,0,0,3,1,4
AMCON LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
AMEERA PRIVATE WEALTH,0,0,0,0,0,0,0,0,0,3,1,4
ANDREW WEBSTER LIMITED,0,0,0,4,0,0,0,0,0,0,0,4
ANITA L. BRICE,0,0,0,0,0,0,0,0,0,3,1,4
ANNA ARTHUR & ASSOCIATES,0,1,1,2,0,0,0,0,0,0,0,4
ANTHILL LTD,0,0,0,0,0,0,0,0,0,4,0,4
ANTONY CLAPP,0,0,0,0,0,0,0,0,0,3,1,4
APEX RPC LTD,0,0,0,0,0,0,0,0,0,1,3,4
APRIROSE LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
ARCHITEKTON LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
ASPECT LAW LIMITED,0,0,0,0,0,0,0,0,0,3,1,4
ASSET BRIDGING AND FUNDING LTD,0,0,0,1,0,0,0,0,0,3,0,4
ASSET FINANCE UK LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
ATUL SHAH SOLICITORS,0,1,0,3,0,0,0,0,0,0,0,4
AVIGHNA,0,0,0,0,0,0,0,0,0,4,0,4
AVIRE UK LETTINGS LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
AYRTON WYLIE LTD,0,0,0,0,0,0,0,0,0,4,0,4
B & C SOLICITORS,0,0,0,0,0,0,0,0,0,3,1,4
BACKHOUSE JONES LIMITED,0,1,0,0,0,0,0,0,1,1,1,4
BAMBRIDGES,2,0,1,1,0,0,0,0,0,0,0,4
BANNISTER & CO SOLICITORS,0,0,0,0,1,0,0,0,0,2,1,4
BARBERRY GROUP LTD,0,0,0,0,0,0,0,0,0,2,2,4
BARNETT DEVELOPMENTS GROUP LTD,0,0,0,0,0,0,0,0,0,4,0,4
BARWOOD DEVELOPMENTS LTD,0,0,0,0,0,0,0,0,0,4,0,4
BBG REAL ESTATE ADVISERS LLP,0,0,0,0,0,0,0,0,0,4,0,4
BDW TRADING LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
BEARD AND AYERS LTD,0,0,0,0,0,0,0,0,0,4,0,4
BEETHAM ORGANIZATION LTD,0,0,0,0,0,0,0,0,0,4,0,4
BERRY & BERRY LAW,1,1,1,1,0,0,0,0,0,0,0,4
BERRYS SOLICITORS,0,0,0,0,0,0,0,0,0,4,0,4
BEXLEYS PROPERTY LAWYERS,0,0,0,1,0,0,0,0,0,2,1,4
BHATIA BEST SOLICITORS,0,0,0,0,2,0,0,0,0,2,0,4
BIRUNTHA SOLICITORS,0,0,0,0,0,0,0,0,0,2,2,4
BISHOP FLEMING,0,0,0,0,0,0,0,0,0,4,0,4
BIVONAS LLP,0,0,0,0,0,0,0,0,0,4,0,4
BLACKSTONE LEGAL LIMITED,0,0,0,0,0,0,0,0,0,3,1,4
BP INTERNATIONAL LIMITED,0,0,0,0,0,0,0,0,0,2,2,4
BRADFORD & BINGLEY PLC,0,0,0,0,0,0,0,0,0,3,1,4
BRADFORD & BINGLEY PLC,0,0,0,4,0,0,0,0,0,0,0,4
BRENDAN FLEMING LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
BRENTWOOD DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,2,2,4
BRIDGES SOLICITORS,0,0,0,0,1,0,0,0,0,3,0,4
BUTLER SHERBORN,0,0,0,0,0,0,0,0,0,4,0,4
CAMBRIAN FUEL CARD SERVS LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
CAMBRIDGE CITY COUNCIL,0,0,0,0,0,0,0,0,0,3,1,4
CAMBRIDGE CITY COUNCIL,0,0,0,0,0,0,0,0,0,3,1,4
CANNING & COMPANY,0,0,0,1,0,0,0,0,0,3,0,4
CANNON CONSULTING ENGINEERS LTD,0,0,0,0,0,0,0,0,0,4,0,4
CAPITAL BOOKS (UK) LIMITED,0,0,0,4,0,0,0,0,0,0,0,4
CARE & REPAIR IN POWYS,0,0,0,0,0,0,0,0,0,4,0,4
CASSERLY PROPERTY MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,4,0,4
CBS LAW,0,0,0,0,0,0,0,0,0,3,1,4
CENTRAL MANCHESTER HOLDINGS LTD,0,0,0,1,0,0,0,0,0,3,0,4
CHELSTEEN HOMES,0,0,0,0,0,0,0,0,0,4,0,4
CHESTER MASTER LTD,0,0,0,0,0,0,0,0,0,3,1,4
CHESTERTON GLOBAL LTD,0,0,0,0,0,0,0,0,0,4,0,4
CHESTERTON GLOBAL LTD,0,0,0,0,0,0,0,0,0,4,0,4
CHIPS SURVEYORS LTD,0,0,0,0,0,0,0,0,0,4,0,4
CHURCHILLS SOLICITORS LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
CINEWORLD CINEMAS LTD,0,0,0,0,0,0,0,0,0,0,4,4
CITY S MANCHESTER HOUSING TRUST,0,0,0,0,0,0,0,0,0,4,0,4
CLASSIC WILL SERVICES,0,0,0,4,0,0,0,0,0,0,0,4
COLES LANE PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
COLONIAL EQUIPMENT FINANCE LTD,0,0,0,0,0,0,0,0,0,4,0,4
COOPER WILKINSON LIMITED,0,0,0,0,0,0,0,0,0,3,1,4
CORY ENVIRONMENTAL HOLDINGS LTD,0,0,0,0,0,0,0,0,0,4,0,4
COSTELLO PROPERTY MANAGEMENT,0,0,0,0,0,0,0,0,0,4,0,4
COX COOPER,0,0,0,1,0,0,0,0,0,3,0,4
COZEN O'CONNOR LLP,0,0,0,0,0,0,0,0,0,3,1,4
CRAIG SHEEHAN,0,0,0,0,0,0,0,0,0,1,3,4
CRC NORTH LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
CREDITSERVE LTD,0,0,0,2,0,0,0,0,0,2,0,4
CURTIS PLUMSTONE LTD,0,0,0,0,0,0,0,0,0,4,0,4
DALLAM TOWER ESTATE,0,0,1,3,0,0,0,0,0,0,0,4
DAPHNE DAVIDSON-KELLY,0,0,0,0,0,0,0,0,0,4,0,4
DAVID CARTWRIGHT & COMPANY,0,0,0,0,1,0,0,0,0,2,1,4
DAVID CLARK & CO,0,0,0,0,0,0,0,0,0,3,1,4
DAVID HURLEY ASSOCIATES,0,0,0,0,0,0,0,0,0,4,0,4
DAVIS BONLEY LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
DAWSON LLOYD & CO,0,0,0,0,0,0,0,0,0,4,0,4
DEAN PROPERTY GROUP LTD,0,0,0,0,0,0,0,0,0,4,0,4
DEVELOPERS DEED PLANS & SURVEYSLTD,0,0,0,0,0,0,0,0,0,4,0,4
DOBSONS ESTATE AGENTS LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
DOUGLAS CLIFT & CO,0,0,0,0,0,0,0,0,0,4,0,4
DYNE SOLICITORS LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
EAGLE SOLICITORS,0,0,0,2,1,0,0,0,0,1,0,4
EARL AND PELHAM LTD,0,0,0,0,0,0,0,0,0,3,1,4
EAST DEVON LAW,0,0,0,0,0,0,0,0,0,4,0,4
EASTEND HOMES LTD,0,0,0,0,0,0,0,0,0,3,1,4
EB7 LTD,0,0,0,0,0,0,0,0,0,3,1,4
ECO NRG SOLUTIONS LIMITED,0,0,0,0,0,0,0,0,3,1,0,4
ENGINE OF THE NORTH LTD,0,0,0,0,0,0,0,0,0,4,0,4
EPPING FOREST DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,4,0,4
ESH MANAGEMENT LIMITED,0,0,0,0,0,0,0,0,0,1,3,4
ESHKERI & GRAU LTD,0,0,0,0,0,0,0,0,0,3,1,4
ESTATE OFFICE INVESTMENT LIMITED,0,0,0,0,0,0,0,0,0,0,4,4
EVANS BROS (LAMPETER) LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
F S LAW,0,1,0,3,0,0,0,0,0,0,0,4
FARMTRACK LTD T/A JOHN E JEREMY,0,0,0,0,0,0,0,0,0,4,0,4
FENWICK SOLICITORS,0,1,0,2,0,0,0,0,0,1,0,4
FIDELITY LAW LIMITED%,0,0,0,1,0,0,0,0,0,2,1,4
FIRST CHOICE SOLICITORS LTD,0,0,0,0,0,0,0,0,0,4,0,4
FIRST LEGAL SERVICES (UK) LTD,0,0,0,0,0,0,0,0,0,4,0,4
FISH NEED WATER LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
FISHER HARGREAVES PROCTOR,0,0,0,0,0,0,0,0,0,2,2,4
FLOGAS UK LTD,0,0,0,0,0,0,0,0,0,4,0,4
FOLKES HOLDINGS LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
FORRESTER BOYD,0,0,0,0,0,0,0,0,0,3,1,4
