Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
METROPOLITAN HOUSING TRUST LIMITED,0,0,0,2,0,0,0,0,1,142,545,690
PROPERTY INFORMATION EXCHANGE,0,0,0,0,1,0,0,0,42,644,2,689
RESIDENTIAL MANAGEMENT GROUP LIMIT,0,0,0,0,0,0,0,0,0,401,285,686
BIRKETT LONG LLP,15,9,8,152,44,0,15,0,7,331,104,685
HOLMES & HILLS,10,12,15,153,79,0,17,0,25,276,96,683
JANE BROOKS LAW,7,2,15,190,138,0,19,0,14,206,91,682
PARKINSON WRIGHT LLP,13,15,14,150,82,0,25,0,13,257,109,678
LANGLEYS,24,69,10,82,68,0,63,0,24,257,80,677
BUDE NATHAN IWANIER,0,5,0,86,52,0,18,0,24,379,112,676
GEPP & SONS SOLICITORS LLP,7,8,13,155,107,0,16,0,9,262,98,675
Harding Evans LLP,5,6,9,175,175,0,16,0,8,211,69,674
DEE AND GRIFFIN,5,5,12,159,126,0,26,0,6,220,111,670
LUPTON FAWCETT DENISON TILL,8,9,11,133,84,0,26,0,17,298,81,667
NAIRNSEY FISHER & LEWIS,5,21,62,105,65,0,117,0,5,191,95,666
MORRISONS,1,9,1,102,63,1,3,0,11,350,124,665
SHAKESPEARE MARTINEAU LLP (8627083),4,8,47,106,56,0,74,0,18,287,65,665
JACKSONS LAW FIRM,0,14,40,161,72,0,143,0,34,156,42,662
BRECHER,3,12,2,99,43,1,9,0,42,368,82,661
HCB SOLICITORS,2,12,12,130,72,0,10,0,12,308,99,657
MARTIN-KAYE,1,13,12,157,139,0,23,0,3,221,88,657
Crombie Wilkinson Solicitors,12,5,25,162,120,1,18,0,18,232,63,656
PM LAW LTD,7,11,15,92,123,0,27,0,3,235,143,656
Woodford Stauffer,0,39,18,122,88,0,45,0,2,217,125,656
OSLER DONEGAN TAYLOR,0,43,4,149,28,0,15,0,3,288,122,652
MORGAN JONES & PETT,7,4,6,164,140,0,30,0,1,185,114,651
LEATHES PRIOR,5,19,3,108,86,0,34,0,10,286,99,650
POINT2 SURVEYORS LTD,0,0,0,0,0,0,0,0,0,539,109,648
